user,waktu,barang,review,rating
Arya,10/03/2023,Nissin Biskuit Kering Rasa Kopi 300gr,"Pesanan sampai dengan aman, recommended seller, tp seller nya kurang komunikatif respon chat, mgkn sibuk sekali bnyk orderan, semoga semakin laris ya, terima kasih",5
Arya,10/03/2023,Tic Tac Snack Pilus 90gr,"Pesanan sampai dengan aman, recommended seller, tapi seller nya kurang komunikatif respon chat, mgkn karena sibuk sekali Banyak orderan, semoga tambah laris ya, Terima kasih",5
Ahmad,10/03/2023,gery chocolatos isi 24,,5
Muhammad,10/03/2023,Sidomuncul Susu Jahe Renceng isi 10 sct,mksh kak,5
Wina,10/03/2023,Kiko Ice Stick Pack isi 10,kiko enak tau!,5
Wina,10/03/2023,Monde Serena Snack 50gr,no doubt,5
Wina,10/03/2023,tricks potato snack,no ragu ragu,5
Wina,10/03/2023,Real Good Susu 50ml,kirain manis jeruk mandarin ternyata kecut yh,5
Wina,10/03/2023,richeese nabati pasta keju 1 box,no ragu ragu,5
muhammad,10/03/2023,Rinso Anti Noda Bubuk 10.000,.,5
g***n,10/03/2023,Pantene Shampoo Renceng,"barang sesuai pesanan, packing aman dan respon penjual sangat ramah. Thank youuu, next time pasti order lagi",5
g***n,10/03/2023,Torabika Creamy Latte Renceng isi 10sct,"barang sesuai pesanan, packing aman dan respon penjual sangat ramah. Thank youuu, next time pasti order lagi",5
Adelina,10/03/2023,Nissin Biskuit Kering Rasa Kopi 300gr,"pesanan diterima dengan baik, packaging aman, recommended seller, tetapi respon chat kurang komunikatif, mgkn sangat sibuk.  terima kasih",5
Amin,10/03/2023,Pop Ice Minuman Serbuk renceng isi 10 sct,,5
Amin,10/03/2023,Nutrisari Renceng isi 10 sct,,5
axial,10/03/2023,Real Good Susu 50ml,mantap kk,5
axial,10/03/2023,Oreo Roll,mantap kk,5
axial,10/03/2023,Garuda Rosta Renceng isi 10 pcs,mantap kk,5
A***A,10/03/2023,superstar triple coklat,barang sudah dterima dengan baik tapi sayangnya pengriman free ongkir lama banget..terima kasih..,5
A***A,10/03/2023,canon ball coklat box 24pcs,"barang sudah dterima dengan baik,tp sayangnya pengiriman lama banget..terima kasih..",5
A***A,10/03/2023,Gery Saluut Wafer box isi 24 pcs,barang sudah dterima.dengan baik tapi sayangnya pengiriman lama banget..semoga bermanfaat..terima kasih,5
A***s,10/03/2023,oreo soft cake bolu 12 pcs,"pas buat cemilan. penjual responsif. order hr ini, besoknya nyampe. makasih",5
A***s,10/03/2023,Nextar Gandumku Coklat Pack isi 10 sct,"pas buat cemilan. penjual responsif. order hr ini, besoknya nyampe. makasih",5
A***s,10/03/2023,momogi box 20 pcs,"pas buat cemilan. penjual responsif. order hr ini, besoknya nyampe. makasih",5
A***s,10/03/2023,Nissin Mini Stick Merah Pack isi 10 pcs,"pas buat cemilan. penjual responsif. order hr ini, besoknya nyampe. makasih",5
A***s,10/03/2023,Spix Soba Mie pack isi 20 pcs,"pas buat cemilan. penjual responsif. order hr ini, besoknya nyampe. makasih",5
Hery,10/03/2023,lays rumput laut 168 gr,Barang ngga sesuai yg di iklan... Yg di iklan lays.. Yg dikirim chitato,2
teguh,10/03/2023,Taro Seaweed renceng isi 10,mantapppp,5
c***a,10/03/2023,Mie Sedaap Goreng,exp date jauh,5
c***a,10/03/2023,Nissin Biskuit Kering 300gr,exp date jauh,5
M***a,10/03/2023,Royco Kaldu 230gr,👍,5
M***a,10/03/2023,Desaku Marinasi Renceng isi 12,👍,5
M***a,10/03/2023,Koko Krunch / Milo / Honey Star Cereal Box 330gr,👍,5
Muhammad,10/03/2023,Sidomuncul Susu Jahe Renceng isi 10 sct,mksh,5
D***n,10/03/2023,Yupi Strawberry Kiss 120g ( 50pcs),Yupi tetep jadi pilihan diantara banyak permen yang ada..,5
A***a,10/03/2023,Beng-Beng Share It Pouch isi 30 pcs,"pengiriman cepat, packingnya aman, barang bagus, harganya oke",5
D***n,10/03/2023,Cho cho lolipop strawberry box 24pcs,"Pernah coba beli satuan. Ternyata pada suka. Coklat yang pake stick.. Jadinya, beli yang box lebih murah..👍",5
Novie,10/03/2023,Le Mineral Botol 330ml Karton isi 24 botol,"Mantapp, seller fast response, gapake lama nyampeee..",5
Beatrice,10/03/2023,tricks potato snack,"Barang sesuai, ga remuk",5
Maxman,10/03/2023,Soklin Liquid Detergent 22ml Renceng ( isi 24 sct + free 2 sct),ok sesuai pesanan,5
lilis,10/03/2023,Torabika Cappuccino Renceng isi 10sct,"manthul, thanks seller tokopedia dan kurir 🙏👍",5
lilis,10/03/2023,Mama Lemon Stain Remover Pouch 500gr,"manthul, thanks seller tokopedia dan kurir 🙏👍",5
lilis,10/03/2023,Lux Bar Soap 110gr,"manthul, thanks seller tokopedia dan kurir 🙏👍",5
lilis,10/03/2023,Indomie Goreng,"manthul, thanks seller tokopedia dan kurir 🙏👍",5
lilis,10/03/2023,Dettol Bar Soap 100gr,"manthul, thanks seller tokopedia dan kurir 🙏👍",5
lilis,10/03/2023,Rexona Women 50gr,"manthul, thanks seller tokopedia dan kurir 🙏👍",5
Sari,10/03/2023,amh jahe merah renceng 12 pcs,Respon cepat. Brg sesuai pesanan. Trima kasih.,5
Sari,10/03/2023,Indomilk Kids 115ml,Respon cepat. Brg sesuai pesanan. Trima kasih.,5
Sari,10/03/2023,milo renceng 22 gr,Respon cepat. Brg sesuai pesanan. Trima kasih.,5
Siti,10/03/2023,Zinc Shampoo Renceng isi 12 sct,sipp,5
Siti,10/03/2023,Pop Ice Minuman Serbuk renceng isi 10 sct,mantap,5
A***f,10/03/2023,gery chocolatos isi 24,thx,5
K***i,10/03/2023,Gery Krekers Beras pack isi 10 sct,cemilan favorit!,5
Luuke,10/03/2023,amh jahe merah renceng 12 pcs,Packing aman dan harga terjangkau,5
Deny,10/03/2023,Garuda Kacang Atom Pedas 230gr,sesuai............,5
Wahyu,10/03/2023,Dilan Chocolate Crunchy Caramel box isi 12 pcs,Respon super cepat.,5
edi,10/03/2023,gery chocolatos isi 24,"paketan terkirim sesuai pesanan,makasih buat penjual &amp; Tokopedia makasih juga buat kurirnya semoga sukses selalu☺️😍😘",5
Inin,10/03/2023,Sunlight Jeruk Nipis 2.000,.,5
G***n,10/03/2023,Torabika Creamy Latte Renceng isi 10sct,"packing rapi, barang diterima dengan aman. thank youuu",5
Siti,10/03/2023,Pop Ice Minuman Serbuk renceng isi 10 sct,"sippppppp
proses dan pengiriman cepat
makasih",5
Jennifer,10/03/2023,Sunlight Jeruk Nipis 10.000,"cepat sekali datangnya, okeyyy",5
kunyik,10/03/2023,Simba Choco Chip Renceng isi 10 pcs,"sampai dengan aman sesuai dan harga murah ,udah jd langganan",5
kunyik,10/03/2023,Nissin Mini Stick pack isi 10 pcs,suka sm packaging nya pake kardus rapih,5
Pradhipta,10/03/2023,davos permen mint pack isi 10 pcs,sesuai pesanan.,5
Lutvia,10/03/2023,Kenji Net Snack 5gr Renceng isi 10 pcs,mantappp bgt packaging nya rapih bgt dan aman,5
Tuminah,10/03/2023,sunlight 5000,Cepat sampai nya bagus dan sesuai,5
Felix,10/03/2023,Nissin Crispy Crackers 225gr,sudah langganan👍,5
Felix,10/03/2023,Nissin Cheese Snack,sudah langganan👍,5
Felix,10/03/2023,gery chocolatos isi 24,sudah langganan👍,5
G***i,10/03/2023,Tong Tji Green Tea box isi 25 kantong,"respon penjual cepat, produk ok dan expired masih panjang",5
E***a,10/03/2023,energen renceng 10 sachet,makasih kakk pesenanku udah sampe lengkap👍,5
sita,10/03/2023,nutrijell jelly powder ekonomis all variant 1box,,5
p***a,10/03/2023,Sampoerna Mild 16 Merah slop,pengiriman cepat,5
Suryadi,10/03/2023,monde egg roll 35gr 10pcs,enakkk bngttt,5
d***i,10/03/2023,Gery Krekers Beras pack isi 10 sct,barang sesuai pesanan packing rapi,5
d***i,10/03/2023,Kobe Selera Saus Tiram 170g,"barang sesuai pesanan,packing rapi",5
H***l,10/03/2023,Gery O'donuts Box isi 24 pcs,barang sampai dengan aman,4
H***l,10/03/2023,Gery Saluut Wafer box isi 24 pcs,barang sampai dengan aman,4
H***l,10/03/2023,tango wafle cranchox box 20pc,barang sampai dengan aman,4
H***l,10/03/2023,Cloud 9 Crunchy Box isi 24 pcs,barang sampai dengan aman,4
Z***a,10/03/2023,energen renceng 10 sachet,murah meriah,5
gigi,10/03/2023,padimas cream cake 10 pcs,puasss,5
A***s,10/03/2023,gemez enaak spicy chili,respon penjual baik. pengiriman cepat. thanks seller,5
A***s,10/03/2023,Yupi Box isi 24 pcs,respon penjual baik. pengiriman cepat. thanks seller,5
A***s,10/03/2023,tricks potato snack,respon penjual baik. pengiriman cepat. thanks seller,5
A***s,10/03/2023,Regal Duo Mini Pack isi 12 pcs,"respon penjual baik. pengiriman cpt. tp kayanya yg ini salah kirim. minta vanilla, tp yg dtg peanut butter. tp ga masalah krn suka semua rasa.",5
A***s,10/03/2023,mie kremezz shorr box,respon penjual baik. pegiriman cepat.,5
m***k,10/03/2023,energen renceng 10 sachet,muach,5
fitry,10/03/2023,so nice sosis toples isi 24 pcs,pengiriman cepat seller ramah,5
R***i,10/03/2023,kopi luwak kopi gula renceng isi 20,pengiriman cepat.barang lengkap.packing aman.next wajib order disini lagi...tq seller😘😘,5
R***i,10/03/2023,luwak white coffee renceng 10 sachet,pengiriman cepat.barang lengkap.packing aman.next wajib order disini lagi...tq seller😘😘,5
R***i,10/03/2023,Gery Krekers Beras pack isi 10 sct,pengiriman cepat.barang lengkap.packing aman.next wajib order disini lagi...tq seller😘😘,5
R***i,10/03/2023,Nabati Wafer Box isi 20 pcs,pengiriman cepat.barang lengkap.packing aman.next wajib order disini lagi...tq seller😘😘,5
R***i,10/03/2023,My Baby Powder 75gr,pengiriman cepat.barang lengkap.packing aman.next wajib order disini lagi...tq seller😘😘,5
R***i,10/03/2023,biskitop vegetable and cheese stik,pengiriman cepat.barang lengkap.packing aman.next wajib order disini lagi...tq seller😘😘,5
R***i,10/03/2023,Jetz Choco Fiesta Renceng isi 10pcs,pengiriman cepat.barang lengkap.packing aman.next wajib order disini lagi...tq seller😘😘,5
R***i,10/03/2023,indomie ayam spesial,pengiriman cepat.barang lengkap.packing aman.next wajib order disini lagi...tq seller😘😘,5
Raniii,10/03/2023,SUN Bubur Bayi Ekonomis 120 gr,pengiriman cepat.barang lengkap.packing aman.next wajib order disini lagi...tq seller😘😘,5
R***i,10/03/2023,Yupi Strawberry Kiss 120g ( 50pcs),pengiriman cepat.barang lengkap.packing aman.next wajib order disini lagi...tq seller😘😘,5
Odette,10/03/2023,Soklin Liquid Detergent 22ml Renceng ( isi 24 sct + free 2 sct),"sesuai pesanan, namun ada bekas sabun yang keluar sedikit",5
I***f,10/03/2023,madu tj murni 250 gr,barang bagus,5
M,10/03/2023,Nutrisari Renceng isi 10 sct,"mantap barang sesuai, masa kadalursa masih lama",5
J***n,10/03/2023,Nestle Carnation Evaporasi 405gr,"Barang sesuai pesanan dan pengiriman cepat, thanks",5
zerobaynophe,10/03/2023,Nabati siip box 20s,,5
z***e,10/03/2023,Milku Susu Botol pack isi 12 botol,,5
z***e,10/03/2023,Nextar Box isi 10 pcs,puas banget belanja dsini selalu repeat order..semoga makin lancar usaha nya dan berkah aamiin,5
Utami,10/03/2023,yupi bolicious box 24 pcs,"pengiriman cepat, ed masih panjang,recomended",5
T***n,10/03/2023,Serena Troy Biskuit,exp hanya krg 2 bulan d kirim,1
E***a,10/03/2023,Nabati siip box 20s,lhas lhes was wes wos,5
muhammad,10/03/2023,Downy 500 Renceng isi 12 sct,.,5
muhammad,10/03/2023,Laurier Super Maxi isi 10,.,5
muhammad,10/03/2023,Wipol Karbol Cemara Reffil 460ml,.,5
Saka,10/03/2023,Nissin Lemonia 20gr Pack isi 10 sct,fast respon dikirim sesuai pilihan reccomended,5
Saka,10/03/2023,Piattos Renceng isi 10 pcs,fast respon dikirim sesuai pilihan reccomended,5
Saka,10/03/2023,Oreo Roll,fast respon dikirim sesuai pilihan reccomended,5
tri,10/03/2023,Frisian Flag Pouch 560gr,mantap lah pokonya,5
K***i,10/03/2023,Gery Krekers Beras pack isi 10 sct,"sesuai pesanan, camilan favorit keluarga",5
Z***a,10/03/2023,Nabati Wafer 130gr,"Kualitas barang sangat bagus, sesuai pesanan dan sampai dengan selamat. 
Terima Kasih seller 🙏🏻",5
Z***a,10/03/2023,Formula Sikat Gigi Extreme Clean Soft,"Kualitas barang sangat bagus, sesuai pesanan dan sampai dengan selamat. 
Terima Kasih seller 🙏🏻",5
Z***a,10/03/2023,sunlight 5000,"Kualitas barang sangat bagus, sesuai pesanan dan sampai dengan selamat. 
Terima Kasih seller 🙏🏻",5
Z***a,10/03/2023,Roma Sari Gandum Original 240gr,"Kualitas barang sangat bagus, sesuai pesanan dan sampai dengan selamat. 
Terima Kasih seller 🙏🏻",5
Odette,10/03/2023,Soklin Liquid Detergent 22ml Renceng ( isi 24 sct + free 2 sct),"sesuai pesanan, packing dibungkus kardus aja, ada yang bocor tapi tidak tau yang mana",5
n***a,10/03/2023,Torabika Creamy Latte Renceng isi 10sct,Puas sekali.,5
A***t,10/03/2023,Sunsilk Shampoo Renceng isi 12 sct,"sip
sesuai
kemasan mantap sekali",5
g***n,10/03/2023,Torabika Creamy Latte Renceng isi 10sct,thank youuuu,5
g***n,10/03/2023,yupi burger box 24 pcs,thank youuu,5
Anik,10/03/2023,Rinso Anti Noda Bubuk 10.000,"sangat cepat,ori dan murah 👍",5
Aprii,10/03/2023,Yupi Box isi 24 pcs,terimakasih,5
Aprii,10/03/2023,yupi little stars 24 pcs,terimakasih,5
Elita,10/03/2023,Mie Gelas Renceng isi 10 pcs,ikan hiu makan tomat. i love you so muach 🥰🥰🥰🥰,5
Elita,10/03/2023,so nice sosis toples isi 24 pcs,ikan hiu makan tomat. i love you so muach 🥰🥰🥰🥰,5
Elita,10/03/2023,padimas cream cake 10 pcs,ikan hiu makan tomat. i love you so muach 🥰🥰🥰🥰,5
rossa,10/03/2023,Garuda Ting-Ting permen bag isi 50pcs,sesuai pesanan dan penjual gercep pengiriman cepat. thanks seller.,5
yoso,10/03/2023,kacang atom bledugh 400gr,mantab dah. reorder,5
K***a,10/03/2023,indocafe coffeemix renceng,terimakasih🙏,5
K***a,10/03/2023,Tong Tji Teh Melati celup 25s,"rapi, tehnya dpt box..👌",5
R***a,10/03/2023,Nuvo hand sanitizer 50ml gel,barang aman,5
R***a,10/03/2023,Head And Shoulders Shampoo Renceng,murahh,5
Sidik,10/03/2023,Strepsils Box isi 24 butir,mantap betul,5
Bagas,10/03/2023,chocolatos drink renceng 10 pcs,good barang mantul.,5
E***s,10/03/2023,Pop Ice Minuman Serbuk renceng isi 10 sct,"Mantaapppp ,,, Thanks kak ....",5
E***s,10/03/2023,Charm Body Fit isi 10 pcs,"Mantaapppp ,,, Thanks kak ....",5
E***s,10/03/2023,Citra Bar Soap 70gr,"Mantaapppp ,,, Thanks kak ....",5
E***s,10/03/2023,Torabika Creamy Latte Renceng isi 10sct,"Mantaapppp ,,, Thanks kak ....",5
B***i,10/03/2023,Mie Gelas Renceng isi 10 pcs,"trima kasih kak, barang sudah sesuai.",5
a***a,10/03/2023,Miranda Hair Collor,barang dikemas dengan aman jadi tidak penyok.,5
A***n,10/03/2023,Mie Gelas Renceng isi 10 pcs,mantab,5
e***n,10/03/2023,energen renceng 10 sachet,sesuai orederan,5
e***n,10/03/2023,Oishi Sponge Snack Renceng isi 10 pcs,sesuai orderan,5
e***n,10/03/2023,amh jahe merah renceng 12 pcs,sesuai order,5
Feri,10/03/2023,Soklin Liquid Detergent 22ml Renceng ( isi 24 sct + free 2 sct),mantep banyak,5
nugroho,10/03/2023,Pop Ice Minuman Serbuk renceng isi 10 sct,puas bangetttt,5
C***g,10/03/2023,Hilo School Renceng isi 10 sct,,5
yayuk,10/03/2023,Better Sandwich Biskuit pack isi 20,safety bgt pengemasan nya...,5
Lukas,10/03/2023,nutrijell jelly powder ekonomis all variant 1box,"Waktu beli, diprosesnya agak lama, dan waktu pickup &amp; pengirimannya juga molor karena menjelang Lebaran, tapi barang sampai sesuai pesanan. Barang dipacking aman, tanggal kedaluarsa masih lama, tapi ternyata ini ukuran kemasan yang kecil.",5
Bernadeta,10/03/2023,Quaker Oatmeal Instan 800gr,"Terimakasih atas bantuannya ya.. Oat meal nya sdh saya terima dg baik, lengkap dg 2 bowl mug nya. Packing sempurna, pengiriman bener instant",5
Adrian,10/03/2023,Beng beng maxx box,Amanah penjual nya,5
K***i,10/03/2023,Gery Krekers Beras pack isi 10 sct,"sesuai pesanan, camilan favorit keluarga, renyah, sedikit asin, sedikit manis",5
m***d,10/03/2023,Sunlight Jeruk Nipis 2.000,jos,5
Nina,10/03/2023,Stella Matic Reffil,mantap,5
Nina,10/03/2023,Stella Smart Matic Set Alat + Reffil,mantap,5
Dewi,10/03/2023,Sampoerna Mild 16 Merah slop,"barang sudah sampai, terimakasih",5
a***a,10/03/2023,Pantene Shampoo Renceng,terimakasih,5
B***i,10/03/2023,Sunlight Jeruk Nipis 10.000,pengiriman cepat...packing rapi dan aman pakai kardus ...terimakasih seller,5
SsTt,10/03/2023,Chitato Sapi Panggang 168gr,"pengemasan baik, seller fast respon, pengiriman cepet, thnks",5
Y***y,10/03/2023,Tango Wafer Box isi 20 pcs,"produk sesuai pesanan, packing aman, pengiriman cepat",5
Y***y,10/03/2023,Chocolatos Wafer Cokelat Renceng 1.000 isi 10 sct,"produk original, packing aman, harga bersaing, pesanan sesuai, pengiriman cepat",5
Y***y,10/03/2023,Nissin Biskuit Kering 300gr,"produk sesuai pesanan, expired masih sangat lama, packing sangat aman, pengiriman cepat sampai",5
Y***y,10/03/2023,nitto wafer coklat 10x17gr,"produk sesuai dengan pesanan, harga standar, packing sangat aman, recommended",5
A***a,10/03/2023,tango wafle cranchox box 20pc,"Pengiriman cepat, sesuai pesanan. Terimakasih...",5
A***a,10/03/2023,Good Time Cookies Box isi 12 pcs,"Pengiriman cepat, sesuai pesanan. Terimakasih....",5
A***a,10/03/2023,superstar triple coklat,"Pengiriman cepat, sesuai pesanan. Terimakasih...",5
A***a,10/03/2023,Good Time Cookies Box isi 12 pcs,"Pengiriman cepat, sesuai pesanan. Terimakasih..",5
Fatikhul,10/03/2023,Dettol Bar Soap 100gr,,5
Fatikhul,10/03/2023,indomie ayam spesial,udah sering belanja disini..recomended,5
Fatikhul,10/03/2023,Sunlight Jeruk Nipis 10.000,brng diterima sesuai pesanan..udah sering belanja disini selalu puas.👍👍,5
M***d,10/03/2023,Sunlight Jeruk Nipis 2.000,ok mantap sampainya cepet banget recomended,5
M***a,10/03/2023,Rinso Cair 5.000,mksh cocok buat harian cuz langganan kl ada freong,5
M***a,10/03/2023,Lux Body Wash 5.000,mksh pas brgnya,5
M***a,10/03/2023,Rinso Anti Noda 5.000,mksh cepat sampai,5
K***a,10/03/2023,Kopiko Blister Box isi 12 sct,Penjual ramah dan fast respon. Harga barang terjangkau dan barang telah sampai dengan baik. Terima kasih Penjual.,5
K***i,10/03/2023,Gery Krekers Beras pack isi 10 sct,"camilan yg bikin nagih.  sedikit manis, sedikit asin, renyah.",5
a***f,10/03/2023,Relaxa Candy Bag isi 50pcs,Alhamdulillah barang sudah diterima dan aman. terimakasih banyak seller dan tokped semoga berkah jaya ya,5
a***f,10/03/2023,Permen Jahe Special 61,"Alhamdulillah barang sudah sampai dan lengkap.. 
terimakasih banyak seller dan tokped",5
A***g,10/03/2023,Mama Lemon Stain Remover Pouch 500gr,"seller fast response, kecepatan pengiriman sangat baik",5
L***a,10/03/2023,go potato biskuit kentang 20 pcs,packing aman dan pengiriman cepat exp lama,5
Bella,10/03/2023,Mie Sedaap kuah,👍,5
Bella,10/03/2023,Oishi Sponge Snack Renceng isi 10 pcs,👍👍❤👍👍👍,5
Atika,10/03/2023,Real Good Susu Bantal Dus isi 60,,5
E***s,10/03/2023,Indofood sambal fried chicken renceng isi 24 sct,"Thanks kak ,,, Sesuai Pesanan 
Cepat kirim cepat sampai Recommended Seller",5
E***s,10/03/2023,chocolatos drink renceng 10 pcs,"Thanks kak ,,, Sesuai Pesanan 
Cepat kirim cepat sampai Recommended Seller",5
E***s,10/03/2023,TOP Kopi Cappuccino Renceng isi 15sct,"Thanks kak ,,, Sesuai Pesanan 
Cepat kirim cepat sampai Recommended Seller",5
insany,10/03/2023,Cimory Fresh Milk 250ml,enak bangets,5
Muhamad,10/03/2023,Ultra milk cokelat 200ml dus isi 24 pcs,packing rapi. isinya bagus. recomended deh pokoknya,5
L***i,10/03/2023,Good Time Cookies Box isi 12 pcs,Ok Gan....!,5
L***i,10/03/2023,gery chocolatos isi 24,Ok Gan...!,5
L***i,10/03/2023,so nice sosis toples isi 24 pcs,Ok Gan...!,5
L***i,10/03/2023,momogi box 20 pcs,Ok Gan. ..!,5
A***l,10/03/2023,French Fries Premium 62gr,"Barang sesuai pesanan, ada juga produk yg kosong, tapi seller mau konfirmasi ganti produk apa refund, good lah,",5
R***n,10/03/2023,Glade Matic Alat + Reffil Set,pembelian kedua masih tetap mantap. cepat dan tepat. recommended seller,5
annitta,10/03/2023,bay fresh everywhere morning coffe,top seller❤️🤗,5
ima,10/03/2023,BOOM Deterjen Bubuk,,5
Sakano,10/03/2023,Ultra Jaya Teh Kotak Jasmine 300ml 1 Dus isi 24 pcs,"Seller fast respon, ada barang kosong juga lgsg dikabarin + dikasih solusi.


recommended!",5
M***i,10/03/2023,Tong Tji teh melati 10g isi 10pcs,yang dikirim teh celup.,3
M***d,10/03/2023,Selamat Wafer 198gr,mantab,5
M***e,10/03/2023,Gery Krekers Beras pack isi 10 sct,"Produk ok, rasa enak, pengiriman cepat",5
M***e,10/03/2023,Nissin Mini Stick pack isi 10 pcs,"Produk ok, rasa enak, pengiriman cepat",5
M***e,10/03/2023,Beng beng maxx box,"Produk ok, rasa enak, pengiriman cepat",5
rinawati,10/03/2023,Paseo Smart Tissue 250 sheet,"terimakasih banget wlapun barang slh kirim, mungkin ketukar x ya,tetapi respon penjual sangat bagus,, bertanggung jawab, diganti uanya,,,brang yg dkirim  gk perlu dikembalikan. trmksh bnyk.. semoga kedepannya pakingnya bisa LBH teliti lg",5
rinawati,10/03/2023,Travela Permen Jahe Bag,barang sudah mendarat dengan selamat. trmksh,5
Satriyo,10/03/2023,good day cappucino renceng 10 sachet,josssssssss,5
R***i,10/03/2023,monde egg roll 35gr 10pcs,expired masih lama pengiriman cepat,4
R***i,10/03/2023,Yupi Box isi 24 pcs,expired masih lama pengiriman cepat,4
R***i,10/03/2023,yupi bolicious box 24 pcs,expired masih lama pengiriman cepat,4
Dona,10/03/2023,energen renceng 10 sachet,makasih kak 🥰🙏,5
muhammad,10/03/2023,Wipol Karbol Cemara Reffil 460ml,.,5
Gugum,10/03/2023,Ultra milk cokelat 200ml dus isi 24 pcs,"sipp sampai tujuan dengan selamat, dan ED nya juga aman",5
P***a,10/03/2023,padimas cream cake 10 pcs,"terimakasih ka barang sudah sampai...
pesanan sesuai packing nya juga aman👍",5
P***a,10/03/2023,Dilan Chocolate Mini Pack isi 10 pcs,"terimakasih ka barang sudah sampai...
pesanan sesuai packing nya juga aman👍",5
P***a,10/03/2023,Indomie Kuah,"terimakasih ka barang sudah sampai...
pesanan sesuai packing nya juga aman👍",5
P***a,10/03/2023,Super Bubur Cup,"terimakasih ka barang sudah sampai...
pesanan sesuai packing nya juga aman👍",5
P***a,10/03/2023,Iyes Kacang Oven Renceng isi 10 pcs,"terimakasih ka barang sudah sampai...
pesanan sesuai packing nya juga aman👍",5
siput,10/03/2023,indocafe coffeemix renceng,barang original..packing rapi..penjual fast respon dan ramah,5
Lathifah,10/03/2023,Indofood Saos Pedas Renceng isi 36 sct,"barang aman sampai tujuan, dikirim lengkap sesuai pesanan makasih",5
Lathifah,10/03/2023,Indofood Sambal/Saos Botol 135ml,"lengkap sesuai pesanan, packing kardus proses cepat mantap",5
Y***n,10/03/2023,Nissin Cheese Snack,Ok sesuai deskripsi,5
Y***n,10/03/2023,Sukro Dua Kelinci Renceng isi 10 pcs,Ok sesuai deskripsi,5
Y***n,10/03/2023,Permen Jahe Special 61,Ok sesuai deskripsi,5
Y***n,10/03/2023,amh jahe merah renceng 12 pcs,Sesuai deskripsi.. ok,5
Y***n,10/03/2023,KHONG GUAN CHOCO IMOET 55G,"Sesuai deskripsi, sayang isinya ada yg ancur. Sepertinya dari kurirnya ditumpuk2.. 🤦🏻",4
Dec,10/03/2023,Pringles Keripik Kentang 42gr,"produk sesuai, packaging aman, pengiriman cepat dan dpt free handsanitizer.. recommended seller nih 🤙🏻",5
P***a,10/03/2023,Telur Ayam Curah Kiloan,"terimakasih ka barang sudah sampai...
pesanan sesuai packing nya juga aman👍",5
Naufal,10/03/2023,tango wafle cranchox box 20pc,"pengiriman cepat, pengemasan produk baik dan produk original, oke deh untuk seller ini recomended banget",5
L***e,10/03/2023,Jas Jus Renceng isi 10 sct,Lmyn buat cairin koin,5
L***e,10/03/2023,chocolatos drink renceng 10 pcs,Lmyn buat cairin koin,5
G***h,10/03/2023,tango wafle cranchox box 20pc,sesuai pesanan,5
christine,10/03/2023,sidomuncul vitamin c 1000 mg orange box 6s,"Barang udh sampe, sesuai semua. Thx",5
christine,10/03/2023,Pepsodent TB Triple Clean Soft,"Barang udh sampe, sesuai semua. Thx",5
christine,10/03/2023,sidomuncul vitamin c 1000 mg box 6s,"Barang udh sampe, sesuai semua. Thx",5
christine,10/03/2023,Sariwangi Teh Celup isi 50,"Barang udh sampe, sesuai semua. Thx",5
christine,10/03/2023,Indofood Sambal/Saos Botol 135ml,"Barang udh sampe, sesuai semua. Thx",5
christine,10/03/2023,Balsem Lang 20gr,"Barang udh sampe, sesuai semua. Thx",5
christine,10/03/2023,Rinso Anti Noda Bubuk 10.000,"Barang udh sampe, sesuai semua. Thx",5
christine,10/03/2023,Pepsodent Fresh Cool Mint 190gr,"Barang udh sampe, sesuai semua. Thx",5
silma,10/03/2023,Nissin Biskuit Kering Rasa Kopi 300gr,cepeettt sampaaaiii barang orii. trmqksih seller,5
Sirojul,10/03/2023,Rinso Cair 1.000 Renceng isi 6sct,"Barang dikirim sesuai pesanan, dipacking dengan rapi dan aman, selamat sampai tujuan. Terima seller.",5
Sirojul,10/03/2023,Pepsodent TB Triple Clean Soft,"Barang dikirim sesuai pesanan, dipacking dengan rapi dan aman, selamat sampai tujuan. Terima seller.",5
Sirojul,10/03/2023,sunlight 5000,"Barang dikirim sesuai pesanan, dipacking dengan rapi dan aman, selamat sampai tujuan. Terima seller.",5
Sirojul,10/03/2023,Minyak Gosok Tawon CC 20ml,"Produk original. Barang dikirim sesuai pesanan, dipacking dengan rapi dan aman, selamat sampai tujuan. Terima seller.",5
Sirojul,10/03/2023,Downy 500 Renceng isi 12 sct,"Barang dikirim sesuai pesanan, dipacking dengan rapi dan aman, selamat sampai tujuan. Terima seller.",5
Yohanes,10/03/2023,mie gemez enaak,"overall ok sih... cuman ada yg beberapa  tidak dikasi bumbu padahal tulisannya ada bumbu, ya bukan salah seller, dr pabriknya aja sih gitu wkwkwk",4
A***d,10/03/2023,Oishi Sponge Snack Renceng isi 10 pcs,"Barang sesuai, sampai dengan selamat, penjual fast respond",5
A***d,10/03/2023,Chitato Renceng isi 10 pcs,"Barang sesuai, sampai dengan selamat, penjual fast respond",5
A***d,10/03/2023,Roma Malkist Renceng isi 10 pcs,"Barang sesuai, sampai dengan selamat, penjual fast respond",5
A***d,10/03/2023,Nabati Roll's Box isi 20 pcs,"Barang sesuai, sampai dengan selamat, penjual fast respond",5
A***d,10/03/2023,Chocolatos Wafer Cokelat Renceng 1.000 isi 10 sct,"Barang sesuai, sampai dengan selamat, penjual fast respond",5
