user,waktu,barang,review,rating
Ira,03/02/2024,Oreo Mini Box isi 10 pcs,belanja disini oke banget. penjualnya amanah. bisa dijasiin langganan. makasih bonusannya.,5
Anita,03/02/2024,Serena Broniz Choco Chip Cookies,"Favorit ku, di minimart terdekat sudah langka... love it♥️",5
Anita,03/02/2024,Ultra Mimi 125ml,aman mantap kardus selalu super tebal. susu cair aman tak pernah bocor...pertahankan selalu kak.makasih ya👍,5
U***U,03/02/2024,kacang atom bledugh 400gr,"Alhamdulillah rezeki ini sdh sampai .. terimakasih ... eksekusi langsung hehheheh
packing rapet banget rapih mantulllll amanah",5
Aulia,03/02/2024,Mie Sedaap Goreng,murah dan lengkap,5
Aulia,03/02/2024,Citra Bar Soap 70gr,murah dan lengkap,5
Aulia,03/02/2024,Rinso Anti Noda 5.000,murah dan lengkap,5
Aulia,03/02/2024,indomie goreng special,murah dan lengkap,5
W***o,03/02/2024,amh jahe merah renceng 12 pcs,"produk bagus, sesuai pesanan...packing rapi...pengiriman cepat",5
tjioe,03/02/2024,Strepsils Box isi 24 butir,minta dua rasa cm di ksh satu rasa,3
N***l,03/02/2024,Dilan Chocolate Mini Pack isi 25 pcs,mantap enak,5
A***u,03/02/2024,biskitop vegetable and cheese stik,Mantap,5
Hariyanto,03/02/2024,Strepsils Box isi 24 butir,"mantap, sesuai deskripsi, thank you seller",5
Hariyanto,03/02/2024,Strepsils Box isi 24 butir,"nice, perfect, thank you seller",5
Z***a,03/02/2024,Tulip Chocolate Hagelslag 90gr,"pengiriman aman &amp; cepat, ED Okt 2024. thankyou.",5
Z***a,03/02/2024,Sun Kara Santan 65 ml,"pengiriman aman &amp; cepat, ED 2025. thankyou.",5
Supriyati,03/02/2024,indocafe coffeemix renceng,"mantap kak, seneng belanja disini, maaf gak bisa kasih foto, sinyal jelek muter terus",5
Supriyati,03/02/2024,Roma Kelapa Cream Cokelat,"mantap kak, gercep juga
exp masih lama",5
kiki,03/02/2024,fermipan sachet ragi instant,sesuai pesanan barang ok,5
kiki,03/02/2024,Indomilk Kental Manis Renceng isi 6 sct,"pengemasan rapi,  barang ok,  exp juga masih lama",5
Riki,03/02/2024,Oreo Roll,"Terimakasih, barang sesuai",5
e***o,03/02/2024,Serena Troy Biskuit,"Barang sampai sesuai pesanan, packing kardus semoga selanjutnya bisa ditambah plastik/potongan kertas/bubble agar biskuit tidak rentan remuk",5
A***a,03/02/2024,Nabati siip box 20s,"proses dari penjual cukup cepat, packing free kardus. rasa snack tidak diragukan lagi enaknya",5
A***a,03/02/2024,Sukro Oven Renceng isi 10 pcs,lumayan buat cemilan,5
A***a,03/02/2024,Nutrisari Renceng isi 10 sct,"pesanan sesuai, expired juga masih lama",5
D***a,04/01/2024,Softex Daun Sirih Pembalut 3in1,paket sudah terkirim dengan baik dan kondisi yang baik pula,5
Ibu,04/01/2024,energen renceng 10 sachet,bugus tidak ada kekurangan,5
m***a,04/01/2024,Sarimi Gelas Renceng isi 10 pcs,mantap dah,5
Muchlis,04/01/2024,amh jahe merah renceng 12 pcs,"Barang sesuai deskripsi.
Sedikit saran,untuk keterangan per renceng dihalaman depan mohon diganti agar bayer tidak kecewa walau dideskripsi sudah ditulis tp biasanya bayer lebih cenderung melihat keterangan dihalaman depan.Terimakasih.",5
